pop,family,garden,ssp,year,julian,long,lat,elev,mat,map,gsp,mtcm,mmin,mtwm,mmax,sday,fday,ffp,dd5,gsdd5,d100,dd0,mmindd0,smrpb,smrsprpb,sprp,smrp,winp
CAW3,CAW-3-3,Maj,v,y11,254,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-4,Maj,v,y11,256,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-5,Maj,v,y11,262,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-6,Maj,v,y11,250,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-7,Maj,v,y11,269,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-8,Maj,v,y11,250,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-9,Maj,v,y11,270,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-1,Orch,v,y11,269,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-5,Orch,v,y11,273,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
CAW3,CAW-3-8,Orch,v,y11,269,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,57,26,228
COT1,COT-1-1,Eph,t,y11,269,-107.81,39.6127,1790,7.4,399,199,-6.1,-14,20.6,30.9,155,260,105,2031,1414,117,590,1812,1.05,0.96,69,66,127
COT1,COT-1-10,Eph,t,y11,264,-107.81,39.6127,1790,7.4,399,199,-6.1,-14,20.6,30.9,155,260,105,2031,1414,117,590,1812,1.05,0.96,69,66,127
